date	Comment_Count	Emoji_Count
10:10:01	32	11.0
10:10:02	33	10.0
10:10:04	25	11.0
10:10:05	21	10.0
10:10:07	14	9.0
10:10:08	31	15.0
10:10:10	19	15.0
10:10:11	24	14.0
10:10:13	22	14.0
10:10:14	31	19.0
10:10:16	28	18.0
10:10:17	43	26.0
10:10:19	25	18.0
10:10:20	28	15.0
10:10:22	17	8.0
10:10:23	28	14.0
10:10:25	23	12.0
10:10:26	31	12.0
10:10:28	13	5.0
10:10:29	40	14.0
10:10:30	18	9.0
10:10:32	15	4.0
10:10:33	18	2.0
10:10:35	31	8.0
10:10:36	26	4.0
10:10:38	26	6.0
10:10:39	28	5.0
10:10:41	22	5.0
10:10:42	26	2.0
10:10:44	37	6.0
10:10:45	41	5.0
10:10:47	22	1.0
10:10:48	27	2.0
10:10:50	14	1.0
10:10:51	24	4.0
10:10:53	12	2.0
10:10:54	36	8.0
10:10:55	19	3.0
10:10:57	23	6.0
10:10:58	33	7.0
10:11:00	29	10.0
10:11:01	22	6.0
10:11:03	26	5.0
10:11:04	23	6.0
10:11:06	20	6.0
10:11:07	22	3.0
10:11:09	17	5.0
10:11:10	33	5.0
10:11:12	22	6.0
10:11:13	22	7.0
10:11:15	25	8.0
10:11:16	33	11.0
10:11:18	14	1.0
10:11:19	28	7.0
10:11:21	15	5.0
10:11:22	25	4.0
10:11:24	16	3.0
10:11:25	29	5.0
10:11:27	7	0.0
10:11:28	28	2.0
10:11:30	4	2.0
10:11:31	28	6.0
10:11:32	14	3.0
10:11:33	4	1.0
10:11:34	27	1.0
10:11:35	12	3.0
10:11:36	3	0.0
10:11:37	17	4.0
10:11:38	22	3.0
10:11:39	8	2.0
10:11:40	10	2.0
10:11:41	16	2.0
10:11:42	12	0.0
10:11:43	5	2.0
10:11:44	22	3.0
10:11:45	18	6.0
10:11:46	7	2.0
10:11:47	23	3.0
10:11:48	14	1.0
10:11:49	9	1.0
10:11:50	24	1.0
10:11:51	23	2.0
10:11:53	11	0.0
10:11:54	23	1.0
10:11:56	9	0.0
10:11:57	30	3.0
10:11:58	16	0.0
10:12:00	11	2.0
10:12:01	37	3.0
10:12:02	18	1.0
10:12:04	21	2.0
10:12:05	22	4.0
10:12:07	21	6.0
10:12:08	31	7.0
10:12:10	59	8.0
10:12:11	86	9.0
10:12:13	102	5.0
10:12:14	108	4.0
10:12:16	87	7.0
10:12:17	112	5.0
10:12:18	1	0.0
10:12:19	78	3.0
10:12:20	74	3.0
10:12:22	59	2.0
10:12:23	60	2.0
10:12:25	36	0.0
10:12:26	58	1.0
10:12:28	40	3.0
10:12:29	51	1.0
10:12:31	35	4.0
10:12:32	41	5.0
10:12:34	33	4.0
10:12:35	45	6.0
10:12:37	29	2.0
10:12:38	48	2.0
10:12:40	32	3.0
10:12:41	55	3.0
10:12:43	31	0.0
10:12:44	27	0.0
10:12:46	20	0.0
10:12:47	37	0.0
10:12:49	17	1.0
10:12:50	37	3.0
10:12:52	19	0.0
10:12:53	37	3.0
10:12:55	12	2.0
10:12:56	32	8.0
10:12:58	11	4.0
10:12:59	38	11.0
10:13:01	12	3.0
10:13:02	40	13.0
10:13:04	8	1.0
10:13:05	44	7.0
10:13:06	17	4.0
10:13:08	13	0.0
10:13:09	21	3.0
10:13:11	20	3.0
10:13:12	22	6.0
10:13:14	22	4.0
10:13:15	29	10.0
10:13:17	21	4.0
10:13:18	33	3.0
10:13:20	20	5.0
10:13:21	33	11.0
10:13:23	30	11.0
10:13:24	34	11.0
10:13:26	41	11.0
10:13:27	39	16.0
10:13:29	27	6.0
10:13:30	41	12.0
10:13:32	35	14.0
10:13:33	41	20.0
10:13:35	25	8.0
10:13:36	25	6.0
10:13:38	20	11.0
10:13:39	26	7.0
10:13:41	23	6.0
10:13:42	32	2.0
10:13:44	35	2.0
10:13:45	52	2.0
10:13:47	39	3.0
10:13:48	56	3.0
10:13:50	32	1.0
10:13:51	54	1.0
10:13:53	32	2.0
10:13:54	44	0.0
10:13:56	37	6.0
10:13:57	42	4.0
10:13:59	31	5.0
10:14:00	37	7.0
10:14:02	31	1.0
10:14:03	44	5.0
10:14:05	37	5.0
10:14:06	52	5.0
10:14:07	1	0.0
10:14:08	17	1.0
10:14:09	40	4.0
10:14:11	17	3.0
10:14:12	27	4.0
10:14:14	23	7.0
10:14:15	38	8.0
10:14:17	16	5.0
10:14:18	33	7.0
10:14:20	17	5.0
10:14:21	39	8.0
10:14:23	10	1.0
10:14:24	25	4.0
10:14:26	13	5.0
10:14:27	33	8.0
10:14:29	9	2.0
10:14:30	24	6.0
10:14:32	10	0.0
10:14:33	26	4.0
10:14:35	15	2.0
10:14:36	35	6.0
10:14:38	7	0.0
10:14:39	33	10.0
10:14:41	15	2.0
10:14:42	32	4.0
10:14:44	12	1.0
10:14:45	30	5.0
10:14:47	2	0.0
10:14:48	30	5.0
10:14:50	4	0.0
10:14:51	34	2.0
10:14:53	6	0.0
10:14:54	34	9.0
10:14:56	4	0.0
10:14:57	42	7.0
10:14:58	19	7.0
10:15:00	26	11.0
10:15:01	25	13.0
10:15:03	41	22.0
10:15:04	37	27.0
10:15:06	38	23.0
10:15:07	55	28.0
10:15:09	49	36.0
10:15:10	45	26.0
10:15:12	53	32.0
10:15:13	38	20.0
10:15:15	31	19.0
10:15:16	43	21.0
10:15:18	37	18.0
10:15:19	33	19.0
10:15:21	33	17.0
10:15:22	39	21.0
10:15:24	23	8.0
10:15:25	32	18.0
10:15:27	24	13.0
10:15:28	29	9.0
10:15:30	18	8.0
10:15:31	39	8.0
10:15:33	27	7.0
10:15:34	34	10.0
10:15:36	19	5.0
10:15:37	27	12.0
10:15:39	10	1.0
10:15:40	24	11.0
10:15:42	7	1.0
10:15:43	29	8.0
10:15:45	5	0.0
10:15:46	34	9.0
10:15:47	20	4.0
10:15:49	14	1.0
10:15:50	38	7.0
10:15:51	16	4.0
10:15:53	20	7.0
10:15:54	15	4.0
10:15:56	19	1.0
