score,n_gram,Ranking
-4.335334782970175,call,1.0
-4.410236091143293,sexy,2.0
-4.410236091143293,hr,2.0
-4.4673945049832415,new,3.0
-4.4673945049832415,girl,3.0
-4.49120515367696,asian,4.0
-4.661550519424199,real,5.0
-5.018225463362931,hhr,6.0
-5.0388447505656675,sweet,7.0
-5.0388447505656675,fun,7.0
-5.0388447505656675,come,7.0
-5.0598981597635,girls,8.0
-5.0598981597635,time,8.0
-5.0598981597635,service,8.0
-5.125856127555297,body,9.0
-5.19647369476925,young,10.0
-5.221166307359622,incall,11.0
-5.221166307359622,im,11.0
-5.2724596017471725,best,12.0
-5.326526823017448,hot,13.0
-5.354697699984145,min,14.0
-5.354697699984145,massage,14.0
-5.383685236857397,please,15.0
-5.413538200007078,old,16.0
-5.413538200007078,hh,16.0
-5.444309858673831,available,17.0
-5.476058556988412,special,18.0
-5.476058556988412,experience,18.0
-5.508848379811402,open,19.0
-5.542749931487084,like,20.0
-5.542749931487084,make,20.0
-5.577841251298354,friendly,21.0
-5.6519492234520765,lbs,22.0
-5.691169936605357,love,23.0
-5.731991931125613,text,24.0
-5.731991931125613,sensual,24.0
-5.731991931125613,nuru,24.0
-5.731991931125613,let,24.0
-5.731991931125613,hi,24.0
-5.7745515455444085,great,25.0
-5.7745515455444085,location,25.0
-5.7745515455444085,dd,25.0
-5.819003308115242,sorry,26.0
-5.819003308115242,san,26.0
-5.819003308115242,pics,26.0
-5.819003308115242,beautiful,26.0
-5.865523323750136,always,27.0
-5.865523323750136,natural,27.0
-5.865523323750136,good,27.0
-5.865523323750136,donation,27.0
-5.865523323750136,pic,27.0
-5.865523323750136,looking,27.0
-5.914313487919568,pretty,28.0
-5.914313487919568,minded,28.0
-5.965606782307118,super,29.0
-5.965606782307118,play,29.0
-5.965606782307118,independent,29.0
-5.965606782307118,hey,29.0
-5.965606782307118,enjoy,29.0
-5.965606782307118,discreet,29.0
-5.965606782307118,aa,29.0
-6.019674003577394,rush,30.0
-6.019674003577394,mins,30.0
-6.019674003577394,years,30.0
-6.076832417417342,town,31.0
-6.076832417417342,ready,31.0
-6.076832417417342,want,31.0
-6.137457039233777,shower,32.0
-6.137457039233777,services,32.0
-6.137457039233777,guys,32.0
-6.137457039233777,give,32.0
-6.137457039233777,gentlemen,32.0
-6.137457039233777,clean,32.0
-6.201995560371348,see,33.0
-6.270988431858299,gentleman,34.0
-6.270988431858299,beauty,34.0
-6.270988431858299,black,34.0
-6.270988431858299,face,34.0
-6.270988431858299,lady,34.0
-6.270988431858299,long,34.0
-6.270988431858299,nice,34.0
-6.270988431858299,phone,34.0
-6.270988431858299,pm,34.0
-6.345096404012022,exotic,35.0
-6.345096404012022,amazing,35.0
-6.345096404012022,baby,35.0
-6.345096404012022,back,35.0
-6.345096404012022,blocked,35.0
-6.345096404012022,calls,35.0
-6.345096404012022,day,35.0
-6.345096404012022,every,35.0
-6.345096404012022,everything,35.0
-6.345096404012022,arrived,35.0
-6.345096404012022,feel,35.0
-6.345096404012022,get,35.0
-6.345096404012022,ok,35.0
-6.345096404012022,playful,35.0
-6.345096404012022,pleasure,35.0
-6.345096404012022,qk,35.0
-6.345096404012022,free,35.0
-6.345096404012022,yrs,35.0
-6.425139111685558,never,36.0
-6.425139111685558,chinese,36.0
-6.425139111685558,city,36.0
-6.425139111685558,life,36.0
-6.425139111685558,michelle,36.0
-6.425139111685558,name,36.0
-6.425139111685558,busty,36.0
-6.425139111685558,offer,36.0
-6.425139111685558,right,36.0
-6.425139111685558,safe,36.0
-6.425139111685558,treat,36.0
-6.425139111685558,try,36.0
-6.425139111685558,upscale,36.0
-6.5121504886751875,drama,37.0
-6.5121504886751875,guaranteed,37.0
-6.5121504886751875,hello,37.0
-6.5121504886751875,man,37.0
-6.5121504886751875,miss,37.0
-6.5121504886751875,personality,37.0
-6.5121504886751875,quality,37.0
-6.5121504886751875,skin,37.0
-6.5121504886751875,soft,37.0
-6.5121504886751875,stress,37.0
-6.5121504886751875,take,37.0
-6.5121504886751875,together,37.0
-6.5121504886751875,unforgettable,37.0
-6.607460668479512,one,38.0
-6.607460668479512,block,38.0
-6.607460668479512,happy,38.0
-6.607460668479512,japanese,38.0
-6.607460668479512,kissing,38.0
-6.607460668479512,know,38.0
-6.607460668479512,lovely,38.0
-6.607460668479512,men,38.0
