,Title,ReleaseYear_x,CriticsTomatometer,MovieUrl,AORotFresh,Genre,Run_Time,Studio,LifetimeGross,LifetimeTheaters,OpeningGross,OpeningTheaters,ReleaseYear_y
0,Summertime (La Belle Saison),2016,91%,/m/la_belle_saison/,1,Art House & International,105 minutes,,,,,,
1,Star Trek Beyond,2016,89%,/m/star_trek_beyond/,1,Action & Adventure,120 minutes,Par.,n/a,"3,928",n/a,"3,928",7/22/2016
2,Café Society,2016,75%,/m/cafe_society_2016/,0,Comedy,85 minutes,,,,,,
3,Don't Blink - Robert Frank,2016,75%,/m/dont_blink_robert_frank_2016/,1,Documentary,82 minutes,,,,,,
4,Our Little Sister (Umimachi Diary),2016,91%,/m/our_little_sister/,1,Drama,128 minutes,,,,,,
5,The Secret Life of Pets,2016,73%,/m/the_secret_life_of_pets/,1,Animation,90 minutes,Uni.,"$225,413,010","4,381","$104,352,905","4,370",7/8/2016
6,The Purge: Election Year,2016,54%,/m/the_purge_election_year/,1,Action & Adventure,105 minutes,Uni.,"$73,714,150","2,821","$31,515,110","2,796",7/1/2016
7,The BFG,2016,73%,/m/the_bfg_2016/,0,Kids & Family,115 minutes,BV,"$49,409,059","3,392","$18,775,350","3,357",7/1/2016
8,"Right Now, Wrong Then",2016,93%,/m/right_now_wrong_then/,1,Drama,121 minutes,,,,,,
9,Wiener-Dog,2016,72%,/m/wiener_dog/,0,Comedy,90 minutes,IFC,"$378,212",74,"$24,311",2,6/24/2016
10,Free State of Jones,2016,43%,/m/free_state_of_jones/,1,Action & Adventure,139 minutes,STX,"$20,591,545","2,815","$7,572,206","2,815",6/24/2016
11,Cosmos,2016,85%,/m/cosmos_2016/,0,Drama,103 minutes,KL,"$15,871",1,"$3,807",1,6/17/2016
12,Finding Dory,2016,94%,/m/finding_dory/,1,Animation,100 minutes,BV,"$451,409,668","4,305","$135,060,273","4,305",6/17/2016
13,De Palma,2016,95%,/m/de_palma/,1,Documentary,107 minutes,A24,"$154,456",19,"$30,355",3,6/10/2016
14,Tikkun,2016,94%,/m/tikkun_2016/,1,Art House & International,120 minutes,KL,"$13,226",2,"$3,595",2,6/10/2016
15,Genius,2016,49%,/m/genius_2016/,0,Drama,104 minutes,RAtt.,"$1,284,723",152,"$98,274",16,6/10/2016
16,Me Before You,2016,59%,/m/me_before_you/,0,Drama,110 minutes,WB (NL),"$55,492,378","2,762","$18,723,269","2,704",6/3/2016
17,Popstar: Never Stop Never Stopping,2016,77%,/m/popstar_never_stop_never_stopping/,1,Comedy,86 minutes,Uni.,"$9,496,130","2,313","$4,698,715","2,311",6/3/2016
