,Title,Studio,LifetimeGross,LifetimeTheaters,OpeningGross,OpeningTheaters,ReleaseYear
0,Star Trek Beyond,Par.,n/a,"3,928",n/a,"3,928",7/22/2016
1,The Secret Life of Pets,Uni.,"$225,413,010","4,381","$104,352,905","4,370",7/8/2016
2,The Purge: Election Year,Uni.,"$73,714,150","2,821","$31,515,110","2,796",7/1/2016
3,The BFG,BV,"$49,409,059","3,392","$18,775,350","3,357",7/1/2016
4,Wiener-Dog,IFC,"$378,212",74,"$24,311",2,6/24/2016
5,Free State of Jones,STX,"$20,591,545","2,815","$7,572,206","2,815",6/24/2016
6,Cosmos,KL,"$15,871",1,"$3,807",1,6/17/2016
7,Finding Dory,BV,"$451,409,668","4,305","$135,060,273","4,305",6/17/2016
8,De Palma,A24,"$154,456",19,"$30,355",3,6/10/2016
9,Tikkun,KL,"$13,226",2,"$3,595",2,6/10/2016
10,Genius,RAtt.,"$1,284,723",152,"$98,274",16,6/10/2016
11,Me Before You,WB (NL),"$55,492,378","2,762","$18,723,269","2,704",6/3/2016
12,Popstar: Never Stop Never Stopping,Uni.,"$9,496,130","2,313","$4,698,715","2,311",6/3/2016
13,Chevalier,Strand,"$25,443",7,"$5,968",3,5/27/2016
14,Unlocking the Cage,FRun,"$26,292",3,"$3,708",1,5/25/2016
15,Maggie's Plan,SPC,"$3,121,707",335,"$63,308",5,5/20/2016
16,The Nice Guys,WB,"$36,132,860","2,865","$11,203,270","2,865",5/20/2016
17,When a Wolf Falls in Love with a Sheep,N/A,n/a,n/a,n/a,n/a,TBD
18,High-Rise,Magn.,"$323,899",41,"$79,887",39,5/13/2016
19,Money Monster,TriS,"$40,959,010","3,104","$14,788,157","3,104",5/13/2016
20,The Lobster (US Release),A24,"$8,730,177",560,"$190,252",4,multiple
21,Dheepan,IFC,"$241,789",26,"$20,249",2,5/6/2016
22,Captain America: Civil War,BV,"$406,660,632","4,226","$179,139,142","4,226",5/6/2016
23,Eva Hesse,Zeit.,"$122,009",7,"$12,780",1,4/27/2016
24,The Huntsman: Winter's War,Uni.,"$48,003,015","3,802","$19,445,035","3,791",4/22/2016
25,Nina's Heavenly Delights,Reg.,"$9,936",2,$267,1,11/21/2007
26,Sing Street,Wein.,"$3,224,639",525,"$63,573",5,4/15/2016
27,Green Room,A24,"$3,220,371",777,"$87,984",3,4/15/2016
28,Barbershop: The Next Cut,WB (NL),"$54,030,051","2,676","$20,242,415","2,661",4/15/2016
29,Louder than Bombs,Orch.,"$163,807",40,"$24,259",4,4/8/2016
30,Vita Activa: The Spirit of Hannah Arendt,Zeit.,"$82,143",4,"$13,244",1,4/6/2016
31,Francofonia,MBox,"$307,040",25,"$22,083",2,4/1/2016
32,Everybody Wants Some!!,Par.,"$3,400,278",454,"$312,355",19,3/30/2016
33,Batman v Superman: Dawn of Justice,WB,"$330,360,194","4,256","$166,007,347","4,242",3/25/2016
34,Midnight Special,WB,"$3,712,282",521,"$190,012",5,3/18/2016
35,City of Gold,IFC,"$611,702",50,"$62,959",4,3/11/2016
36,Knight of Cups,BG,"$566,006",68,"$60,551",4,3/4/2016
37,Aferim!,BWP,"$105,097",8,"$15,892",5,1/22/2016
38,Ride Along 2,Uni.,"$90,862,685","3,192","$35,243,095","3,175",1/15/2016
39,In the Shadow of Women,Distrib.,"$50,291",4,"$10,431",2,1/15/2016
40,Thomas & Friends: Sodor's Legend of the Lost Treasure,N/A,n/a,n/a,n/a,n/a,TBD
41,Joy,Fox,"$56,451,232","2,924","$17,015,168","2,896",12/25/2015
42,The Hateful Eight,Wein.,"$54,117,416","2,938","$4,610,676",100,12/25/2015
43,45 Years,IFC,"$4,247,285",251,"$65,775",3,12/23/2015
44,Son of Saul,SPC,"$1,777,043",180,"$37,930",3,12/18/2015
45,Sisters,Uni.,"$87,044,645","2,978","$13,922,855","2,962",12/18/2015
46,The Big Short,Par.,"$70,259,870","2,529","$705,527",8,12/11/2015
47,Don Verdean,LGP,"$31,309",40,"$12,907",40,12/11/2015
48,Krampus,Uni.,"$42,725,475","2,919","$16,293,325","2,902",12/4/2015
49,Youth,FoxS,"$2,703,296",149,"$78,085",4,12/4/2015
50,The Danish Girl,Focus,"$11,114,018",794,"$187,318",4,11/27/2015
51,Assassin's Creed,Fox,n/a,n/a,n/a,n/a,12/21/2016
52,The Night Before,Sony,"$43,047,372","2,960","$9,880,536","2,960",11/20/2015
53,Carol,Wein.,"$12,711,491",790,"$253,510",4,11/20/2015
54,The 33,WB,"$12,227,722","2,452","$5,787,266","2,452",11/13/2015
55,Miss You Already,RAtt.,"$1,162,653",384,"$552,506",384,11/6/2015
56,Spotlight,ORF,"$45,055,776","1,227","$295,009",5,11/6/2015
57,The Brooklyn Banker,INDEP,n/a,n/a,n/a,n/a,8/5/2016
58,Nasty Baby,Orch.,"$79,800",18,"$8,023",2,10/23/2015
59,Suffragette,Focus,"$4,702,420",517,"$76,244",4,10/23/2015
60,Assassin's Creed,Fox,n/a,n/a,n/a,n/a,12/21/2016
61,Crimson Peak,Uni.,"$31,090,320","2,991","$13,143,310","2,984",10/16/2015
62,Beasts of No Nation,BST,"$90,777",31,"$51,003",31,10/16/2015
63,Black Panther,BV,n/a,n/a,n/a,n/a,2/16/2018
64,Steve Jobs,Uni.,"$17,766,658","2,493","$521,522",4,10/9/2015
65,Jafar Panahi's Taxi,KL,"$321,642",20,"$22,531",3,10/2/2015
66,Walking on Sunshine,N/A,n/a,n/a,n/a,n/a,TBD
67,Mississippi Grind,A24,"$130,541",46,"$12,434",1,9/25/2015
68,99 Homes,BG,"$1,411,927",691,"$32,253",2,9/25/2015
69,Sicario,LGF,"$46,889,293","2,620","$401,288",6,9/18/2015
70,Black Mass,WB,"$62,575,678","3,188","$22,635,037","3,188",9/18/2015
71,Everest (2015),Uni.,"$43,482,270","3,009","$7,222,035",545,9/18/2015
72,Time Out of Mind,IFC,"$166,775",18,"$18,934",3,9/9/2015
73,Coming Home (2015),SPC,"$377,607",55,"$26,361",3,9/9/2015
74,Black Panthers: Vanguard of the Revolution,PBS,"$516,893",12,"$20,215",1,9/2/2015
75,The Iron Ministry,Icar.,"$3,159",3,$896,3,8/21/2015
76,Digging for Fire,Orch.,"$119,364",30,"$25,000",3,8/21/2015
77,Grandma (2015),SPC,"$6,980,524","1,061","$115,540",4,8/21/2015
78,Ricki and the Flash,TriS,"$26,822,144","2,064","$6,610,961","1,603",8/7/2015
79,The Fantastic Four 2,Fox,n/a,n/a,n/a,n/a,TBD
80,Best of Enemies,Magn.,"$892,802",69,"$50,378",3,7/31/2015
81,The End of the Tour,A24,"$3,002,884",355,"$123,238",4,7/31/2015
82,Phoenix (2015),IFC,"$3,184,472",197,"$30,296",2,7/24/2015
83,Southpaw,Wein.,"$52,421,953","2,772","$16,701,294","2,772",7/24/2015
84,Mr. Holmes,RAtt.,"$17,737,646",898,"$2,434,908",361,7/17/2015
85,The Look of Silence,Drft.,"$109,089",14,"$6,616",1,7/17/2015
86,Ant-Man and the Wasp,BV,n/a,n/a,n/a,n/a,7/6/2018
87,Self/Less,Focus,"$12,279,691","2,353","$5,403,460","2,353",7/10/2015
88,Stray Dogs,CGld,"$10,433",3,"$2,998",1,9/12/2014
89,A Poem Is a Naked Person (2015 re-issue),Jan.,"$96,592",5,"$5,526",1,7/1/2015
