,Title,ReleaseYear,CriticsTomatometer,MovieUrl,AORotFresh
0,Summertime (La Belle Saison),2016,91%,/m/la_belle_saison/,1
1,Star Trek Beyond,2016,89%,/m/star_trek_beyond/,1
2,Café Society,2016,75%,/m/cafe_society_2016/,0
3,Don't Blink - Robert Frank,2016,75%,/m/dont_blink_robert_frank_2016/,1
4,Our Little Sister (Umimachi Diary),2016,91%,/m/our_little_sister/,1
5,The Secret Life of Pets,2016,73%,/m/the_secret_life_of_pets/,1
6,The Purge: Election Year,2016,54%,/m/the_purge_election_year/,1
7,The BFG,2016,73%,/m/the_bfg_2016/,0
8,"Right Now, Wrong Then",2016,93%,/m/right_now_wrong_then/,1
9,Wiener-Dog,2016,72%,/m/wiener_dog/,0
10,Free State of Jones,2016,43%,/m/free_state_of_jones/,1
11,Cosmos,2016,85%,/m/cosmos_2016/,0
12,Finding Dory,2016,94%,/m/finding_dory/,1
13,De Palma,2016,95%,/m/de_palma/,1
14,Tikkun,2016,94%,/m/tikkun_2016/,1
15,Genius,2016,49%,/m/genius_2016/,0
16,Me Before You,2016,59%,/m/me_before_you/,0
17,Popstar: Never Stop Never Stopping,2016,77%,/m/popstar_never_stop_never_stopping/,1
18,Chevalier,2016,85%,/m/chevalier/,1
19,Unlocking the Cage,2016,79%,/m/unlocking_the_cage/,1
20,Maggie's Plan,2016,86%,/m/maggies_plan_2016/,1
21,O.J.: Made in America,2016,100%,/m/oj_made_in_america/,1
22,The Nice Guys,2016,91%,/m/the_nice_guys/,0
23,Love & Friendship,2016,99%,/m/love_and_friendship/,1
24,High-Rise,2016,62%,/m/high_rise_2016/,0
25,Money Monster,2016,57%,/m/money_monster/,1
26,The Lobster,2016,90%,/m/the_lobster/,1
27,Dheepan,2016,89%,/m/dheepan/,1
28,Captain America: Civil War,2016,90%,/m/captain_america_civil_war/,1
29,The Wait (L'attesa),2016,65%,/m/the_wait_2016/,1
30,Eva Hesse,2016,85%,/m/eva_hesse_2016/,1
31,The Huntsman: Winter's War,2016,16%,/m/the_huntsman_winters_war/,0
